s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
21043	6	6	3	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
21131	6	6	6	4	1	0.718	0.719	54	16	60	63	528	528	16896	490	38	39	137	203	150	412	40228	32	0	38	39	2	2	0.010
21236	2	0	8	2	1	0.348	0.348	33	12	33	25	210	210	6720	190	20	25	57	52	81	92	20338	16	0	20	25	4	58	0.015
21338	4	4	8	4	1	0.235	0.235	33	15	33	30	341	341	10912	327	14	18	113	47	167	140	7322	13	0	14	18	0	0	0.004
21430	4	0	39	4	1	0.112	0.112	21	12	21	10	224	224	7168	220	4	28	65	4	151	20	2608	4	0	4	28	0	0	0.006
21436	6	0	49	6	1	0.281	0.281	25	12	50	27	428	428	13696	412	16	36	110	59	243	196	9496	15	0	16	36	1	1	0.008
21652	4	4	8	0	1	0.222	0.222	32	17	32	42	129	129	4128	123	6	6	33	61	29	161	12844	13	0	6	6	2	28	0.006
21679	6	6	8	0	1	0.628	0.628	43	11	66	57	413	413	13216	386	27	34	110	155	121	235	35256	35	0	27	34	4	10	0.010
21694	6	6	2	0	1	0.035	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
22004	6	6	3	0	1	0.035	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
22261	2	0	14	2	1	0.171	0.171	21	12	21	10	412	412	13184	400	12	16	111	43	246	20	1516	4	0	12	16	2	7	0.005
22334	4	4	10	0	1	0.225	0.225	26	13	26	38	145	145	4640	138	7	7	35	65	38	160	12914	11	0	7	7	2	2	0.002
22353	6	0	10	6	1	0.417	0.418	33	15	54	42	394	394	12608	374	20	23	99	119	156	188	19833	17	0	20	23	4	4	0.006
22367	4	0	24	4	1	0.519	0.520	49	22	49	54	514	514	16448	486	28	36	120	207	159	452	25600	22	0	28	36	2	7	0.010
22384	4	0	8	4	1	0.306	0.306	25	10	25	26	457	457	14624	436	21	22	132	80	224	104	9292	8	0	21	22	1	1	0.005
22764	6	0	40	6	1	0.115	0.116	21	12	42	20	285	285	9120	272	13	36	60	10	202	20	108	8	0	13	36	2	8	0.009
22917	6	6	5	0	1	0.140	0.140	38	9	44	53	290	290	9280	269	21	21	70	128	71	293	1852	27	1	21	21	0	0	0.005
22924	6	0	11	6	1	0.146	0.146	37	16	62	47	347	347	11104	323	24	26	80	110	133	288	483	23	0	24	26	2	25	0.010
22989	6	6	2	0	1	0.036	0.036	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
23026	6	2	6	4	1	0.172	0.172	38	15	44	36	317	317	10144	292	25	27	89	87	116	181	3424	19	1	25	27	4	27	0.011
23079	6	6	4	0	1	0.036	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
