s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
47456	2	2	42	0	1	0.103	0.103	11	6	192	192	6144	189	3	8	67	34	88	170	2099	3	1	3	8	1	3	0.003
47464	2	2	44	0	1	0.099	0.099	11	6	197	197	6304	194	3	8	63	39	92	196	2098	3	1	3	8	1	4	0.003
47465	2	2	43	0	1	0.142	0.142	18	9	261	261	8352	256	5	10	95	69	92	289	3688	7	0	5	10	2	5	0.003
47602	6	0	67	6	1	0.280	0.280	25	12	580	580	18560	566	14	60	122	80	364	308	4586	15	0	14	60	0	0	0.012
47639	4	0	23	4	1	0.429	0.429	29	12	613	613	19616	593	20	53	191	85	317	612	13080	12	0	20	53	10	85	0.026
47741	6	6	28	4	1	2.773	1.445	69	16	2278	2278	72896	2146	132	181	774	619	753	2180	48108	71	0	132	181	21	42	0.050
48242	2	0	69	2	1	0.426	0.426	33	16	861	861	27552	819	42	77	222	146	451	816	4674	12	0	42	77	7	39	0.024
48280	2	0	84	2	1	0.701	0.354	29	14	779	779	24928	744	35	76	194	115	435	584	3264	10	0	35	76	7	39	0.024
48612	6	2	57	6	1	0.584	0.585	37	13	1238	1238	39616	1182	56	84	212	421	549	1280	9007	34	0	56	84	8	24	0.024
48821	6	2	20	6	1	0.615	0.615	37	13	834	834	26688	786	48	68	258	199	329	520	21764	35	0	48	68	7	19	0.019
48987	6	6	26	6	1	1.327	1.328	81	35	1331	1331	42592	1223	108	141	428	326	469	1476	61105	69	0	108	141	8	11	0.034
49126	2	0	157	2	1	0.168	0.168	21	12	400	400	12800	390	10	51	86	23	281	20	1112	4	0	10	51	0	0	0.011
49129	2	0	171	2	1	0.161	0.162	21	12	400	400	12800	390	10	51	85	23	282	20	1084	4	0	10	51	0	0	0.011
